WKT,name,description
"POINT (-79.9697147 39.6480359)",West Virginia University,
"POINT (-83.1863612 35.3090108)",Western Carolina University,
"POINT (-90.6837163 40.4674396)",Western Illinois University,
"POINT (-86.456 36.9847167)",Western Kentucky University,
"POINT (-85.6102506 42.2837337)",Western Michigan University,
"POINT (-97.28994209999999 37.7191442)",Wichita State University,
"POINT (-76.7091042 37.2694402)",William and Mary College,
"POINT (-81.03199699999999 34.9394013)",Winthrop University,
"POINT (-81.9351358 34.9590202)",Wofford College,
"POINT (-84.06510779999999 39.77985419999999)",Wright State University,
"POINT (-84.47406869999999 39.1498065)",Xavier University,
"POINT (-72.92234309999999 41.3163244)",Yale University,
"POINT (-80.6480952 41.10664130000001)",Youngstown State University,
